id_cliente,Recency,Frequency,Monetary,Age,R_decil,F_decil,M_decil,A_decil,R_range,F_range,M_range,A_range,Segmento,cpf,cnpj,nome,email,telefone
2.0,1744.0,2.0,310.0,1807.0,1,1,4,10,1666.0-2072.0,1.0-2.0,270.0-310.0,1696.0-2072.0,Inativos,04740287200,,Sra. Mariah Leão,juliagarcia@example.org,41 4408 8846
4.0,1365.0,2.0,400.0,2066.0,3,1,6,10,1248.0-1415.0,1.0-2.0,380.0-450.0,1696.0-2072.0,Inativos,63634716215,,Maria Isis Lopes,hrodrigues@example.com,(051) 9922-8454
6.0,2008.0,2.0,60.0,2065.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,81633548287,,Sra. Alice Alves,walmeida@example.com,(061) 7747 7337
8.0,2072.0,1.0,70.0,2072.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,79215874291,,Arthur Gabriel Siqueira,olivia98@example.com,41 1340-2219
36.0,2064.0,1.0,105.0,2064.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,74533878253,,Anthony Gabriel Novaes,teixeiramathias@example.net,+55 (031) 6699 8563
81.0,1496.0,1.0,150.0,1496.0,2,1,1,9,1415.0-1666.0,1.0-2.0,0.0-180.0,1469.6-1696.0,Inativos,06541383626,,Arthur Gabriel Freitas,isis44@example.com,+55 (031) 9497-2390
107.0,561.0,2.0,650.0,1116.0,8,1,8,6,363.0-572.6,1.0-2.0,580.0-750.0,1069.0-1179.4,Sumidos,34688510225,,Marcelo Aragão,riosluara@example.com,+55 61 8254-3615
119.0,2057.0,1.0,100.0,2057.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,61805939220,,Kevin Marques,maria-luisa34@example.net,51 0030 4629
193.0,1032.0,2.0,550.0,2043.0,5,1,7,10,995.0-1111.0,1.0-2.0,450.0-580.0,1696.0-2072.0,Inativos,94477370210,,Arthur da Cunha,vnovaes@example.net,+55 51 3328 7589
210.0,1098.0,2.0,690.0,2039.0,5,1,8,10,995.0-1111.0,1.0-2.0,580.0-750.0,1696.0-2072.0,Inativos,07378955272,,Arthur Caldeira,rael15@example.net,(061) 1495 6232
222.0,2037.0,1.0,160.0,2037.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,90055004253,,Danilo Vargas,umendes@example.com,+55 (031) 4717 7236
242.0,1531.0,2.0,490.0,2033.0,2,1,7,10,1415.0-1666.0,1.0-2.0,450.0-580.0,1696.0-2072.0,Inativos,95172548220,,Sra. Rafaela da Cunha,henry01@example.org,(051) 0888 3039
244.0,456.0,3.0,950.0,2031.0,8,2,9,10,363.0-572.6,2.0-23.0,750.0-1155.0,1696.0-2072.0,Sumidos,75800144249,,Benicio Fernandes,lcaldeira@example.net,(011) 3106-8683
245.0,2031.0,1.0,330.0,2031.0,1,1,5,10,1666.0-2072.0,1.0-2.0,310.0-380.0,1696.0-2072.0,Inativos,02889479242,,Henrique Cavalcanti,matheus04@example.org,+55 (011) 1815 3528
255.0,1515.0,2.0,850.0,2031.0,2,1,9,10,1415.0-1666.0,1.0-2.0,750.0-1155.0,1696.0-2072.0,Inativos,,,Gustavo Henrique Macedo,augusto70@example.net,(021) 2412-7610
280.0,2024.0,1.0,200.0,2024.0,1,1,2,10,1666.0-2072.0,1.0-2.0,180.0-230.0,1696.0-2072.0,Inativos,31073239268,,Bernardo Sá,maria-clarada-rosa@example.com,+55 71 5414 2334
314.0,611.0,2.0,645.0,2018.0,7,1,8,10,572.6-812.0,1.0-2.0,580.0-750.0,1696.0-2072.0,Sumidos,43698794268,,Sr. Theodoro Castro,omonteiro@example.org,+55 (084) 8260 7027
339.0,407.0,20.0,6300.0,2014.0,8,2,10,10,363.0-572.6,2.0-23.0,1155.0-15000.0,1696.0-2072.0,Sumidos,01588202232,,Sarah Cardoso,livia26@example.com,+55 41 1417 3838
350.0,2010.0,1.0,180.0,2010.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,,,Melina Macedo,diasdanilo@example.com,+55 (021) 7259 9752
351.0,666.0,4.0,810.0,2008.0,7,2,9,10,572.6-812.0,2.0-23.0,750.0-1155.0,1696.0-2072.0,Sumidos,41773640291,,Calebe Novais,marianamarques@example.com,0300-063-6858
376.0,2003.0,1.0,350.0,2003.0,1,1,5,10,1666.0-2072.0,1.0-2.0,310.0-380.0,1696.0-2072.0,Inativos,85975990220,,Apollo Cavalcanti,emillyda-rosa@example.com,81 3354 0541
386.0,1993.0,2.0,630.0,1997.0,1,1,8,10,1666.0-2072.0,1.0-2.0,580.0-750.0,1696.0-2072.0,Inativos,01385051442,,Ravi Abreu,bruno63@example.org,41 1584-9063
403.0,1636.0,3.0,1130.0,1998.0,2,2,9,10,1415.0-1666.0,2.0-23.0,750.0-1155.0,1696.0-2072.0,Inativos,68878648272,,Benício Rocha,vargasfernando@example.com,+55 (021) 4824-0227
456.0,1752.0,2.0,1420.0,1989.0,1,1,10,10,1666.0-2072.0,1.0-2.0,1155.0-15000.0,1696.0-2072.0,Inativos,91534860215,,Samuel Garcia,maria-juliacirino@example.net,+55 (011) 3808 4928
458.0,1989.0,1.0,250.0,1989.0,1,1,3,10,1666.0-2072.0,1.0-2.0,230.0-270.0,1696.0-2072.0,Inativos,02162477211,,Otávio Leão,osales@example.net,41 4820-6222
472.0,1986.0,1.0,420.0,1986.0,1,1,6,10,1666.0-2072.0,1.0-2.0,380.0-450.0,1696.0-2072.0,Inativos,51016630263,,Srta. Natália Viana,freitasmarcelo@example.org,+55 41 0587 8754
476.0,1986.0,1.0,180.0,1986.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,01586357280,,Nicole Costa,ana-carolina35@example.net,11 4838-4010
480.0,1636.0,2.0,420.0,1984.0,2,1,6,10,1415.0-1666.0,1.0-2.0,380.0-450.0,1696.0-2072.0,Inativos,65515595220,,Anthony Brito,vicente19@example.net,(041) 6598-3024
483.0,1982.0,1.0,150.0,1982.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,81145837204,,Ana Lívia Rezende,da-rochakevin@example.com,0300 742 3681
484.0,1983.0,1.0,430.0,1983.0,1,1,6,10,1666.0-2072.0,1.0-2.0,380.0-450.0,1696.0-2072.0,Inativos,43694748253,,José Pedro Borges,gael-henriquelopes@example.com,+55 51 5561 3842
490.0,1636.0,2.0,650.0,1982.0,2,1,8,10,1415.0-1666.0,1.0-2.0,580.0-750.0,1696.0-2072.0,Inativos,03556074761,,Henrique Fogaça,costeladante@example.com,+55 11 6611-5775
491.0,1982.0,1.0,1000.0,1982.0,1,1,9,10,1666.0-2072.0,1.0-2.0,750.0-1155.0,1696.0-2072.0,Inativos,27605884249,,José Leão,ana-clarada-conceicao@example.net,31 9397-2363
492.0,1974.0,1.0,280.0,1974.0,1,1,4,10,1666.0-2072.0,1.0-2.0,270.0-310.0,1696.0-2072.0,Inativos,18666059761,,Luísa Lima,hsilva@example.org,+55 (081) 5021 9858
510.0,1980.0,1.0,120.0,1980.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,74091948200,,Dr. Asafe da Rosa,fariasleandro@example.net,+55 11 9581-6847
514.0,1979.0,1.0,180.0,1979.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,63679302215,,Dra. Ana Luiza Albuquerque,mariahrodrigues@example.org,0500-907-1061
528.0,1874.0,2.0,925.0,1976.0,1,1,9,10,1666.0-2072.0,1.0-2.0,750.0-1155.0,1696.0-2072.0,Inativos,41300530278,,Antonella Dias,yagoda-paz@example.net,41 5359 3299
559.0,1966.0,1.0,650.0,1966.0,1,1,8,10,1666.0-2072.0,1.0-2.0,580.0-750.0,1696.0-2072.0,Inativos,83162291291,,Eloah Pimenta,ypastor@example.org,+55 21 0136 6315
561.0,1498.0,1.0,350.0,1498.0,2,1,5,9,1415.0-1666.0,1.0-2.0,310.0-380.0,1469.6-1696.0,Inativos,,,Laura Peixoto,tborges@example.org,+55 41 2293 7422
612.0,173.0,3.0,476.5,1955.0,10,2,7,10,0.0-201.0,2.0-23.0,450.0-580.0,1696.0-2072.0,Fiéis Baixo Valor,86480600282,,Anthony Gabriel Caldeira,stephanypimenta@example.com,(071) 5039-6749
615.0,365.0,3.0,1275.0,1953.0,8,2,10,10,363.0-572.6,2.0-23.0,1155.0-15000.0,1696.0-2072.0,Fiéis Alto Valor,00862321263,,Benjamin Pereira,brayancavalcanti@example.com,+55 81 5169-7423
618.0,1944.0,1.0,250.0,1944.0,1,1,3,10,1666.0-2072.0,1.0-2.0,230.0-270.0,1696.0-2072.0,Inativos,97222569200,,Sr. Davi Luiz Fonseca,heloisapimenta@example.net,(084) 0257 9160
619.0,1953.0,1.0,170.0,1953.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,51363542249,,Pedro Miguel Rios,marquesluara@example.org,0900-028-5689
620.0,1953.0,1.0,100.0,1953.0,1,1,1,10,1666.0-2072.0,1.0-2.0,0.0-180.0,1696.0-2072.0,Inativos,23923237200,,Alana Sá,bento33@example.com,+55 (031) 9184-1545
622.0,126.0,3.0,1010.0,1798.0,10,2,9,10,0.0-201.0,2.0-23.0,750.0-1155.0,1696.0-2072.0,Fiéis Alto Valor,00110358201,,Stella Silva,diasbenjamim@example.com,+55 41 9923 5569
623.0,1156.0,3.0,430.0,1946.0,4,2,6,10,1111.0-1248.0,2.0-23.0,380.0-450.0,1696.0-2072.0,Inativos,89427122404,,Maitê Pastor,portoalice@example.net,0300 773 7572
